ID_Folder;Nome_Sito;Indirizzo;Sistema;Sottocategoria;Attivita;Frequenza;Quantita;Stato_Documentale;Note;Data_Ultimo_Intervento
23;Via Sanzio 9;Via Raffaello Sanzio 9;3.1;B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11;Distribuzione impianti idronici e sottocentrali;m2 superficie lorda;303;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
TBD;Via Rugabella 4/6;TBD;15.1;B.07.05;Ventilconvettori;n.ro ventilconvettori;10;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
1;Via Doria 52;Via Andrea Doria 52;17.1;B.07.07/09;Condizionatori tipo split/VRV /carrellabili;n.ro unità interna;4;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
3;Via Farini 9;Via Carlo Farini 9;17.1;B.07.07/09;Condizionatori tipo split/VRV /carrellabili;n.ro unità interna;11;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
TBD;Via Rugabella 4/6;TBD;17.1;B.07.07/09;Condizionatori tipo split/VRV /carrellabili;n.ro unità interna;5;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
5;Via Sassi 4;Via Sassi 4;17.1;B.07.07/09;Condizionatori tipo split/VRV /carrellabili;n.ro unità interna;6;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
9;Via Calvairate 1;Via Calvairate 1;17.1;B.07.07/09;Condizionatori tipo split/VRV /carrellabili;n.ro unità interna;4;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
10;Via Polesine 6;Via Polesine 6;17.1;B.07.07/09;Condizionatori tipo split/VRV /carrellabili;n.ro unità interna;2;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
12;POT Bollate;Via (Bollate);17.1;B.07.07/09;Condizionatori tipo split/VRV /carrellabili;n.ro unità interna;26;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
1;Via Doria 52;Via Andrea Doria 52;20.1;B.08 - B.13 - B.15;Unità di Trattamento Aria con filtro assoluto;n.ro U.T.A.;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
2;Via Don Orione 2;Via Don Orione 2;20.1;B.08 - B.13 - B.15;Unità di Trattamento Aria con filtro assoluto;n.ro U.T.A.;2;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
3;Via Farini 9;Via Carlo Farini 9;20.1;B.08 - B.13 - B.15;Unità di Trattamento Aria con filtro assoluto;n.ro U.T.A.;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
TBD;Via Rugabella 4/6;TBD;20.1;B.08 - B.13 - B.15;Unità di Trattamento Aria con filtro assoluto;n.ro U.T.A.;3;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
5;Via Sassi 4;Via Sassi 4;20.1;B.08 - B.13 - B.15;Unità di Trattamento Aria con filtro assoluto;n.ro U.T.A.;2;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
7;Viale Jenner 44;Viale Jenner 44;20.1;B.08 - B.13 - B.15;Unità di Trattamento Aria con filtro assoluto;n.ro U.T.A.;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
8;Via Livigno 3;Via Livigno 3;20.1;B.08 - B.13 - B.15;Unità di Trattamento Aria con filtro assoluto;n.ro U.T.A.;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
22;Via Cilea 146A;Via Francesco Cilea 146A;20.1;B.08 - B.13 - B.15;Unità di Trattamento Aria con filtro assoluto;n.ro U.T.A.;1;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
1;Via Doria 52;Via Andrea Doria 52;2.1;B.01 - B.08.04/ 05/06 - B.09 - B.10 - B.11;Canali di distribuzione, ripresa, serrande e bocchette e relativi locali tecnici;m2 superficie lorda climatizzata (presenti ricambi d'aria);3.715;REALE;Sorgente: Matrice Consistenze 2026;DOCUMENTO MANCANTE
