"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"XX";"HVAC";"Via A. Sassi 4";"- n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"-";"REALE"
"05";"HVAC";"Via Sassi 4 P.ssa Jolanda";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"XX";"HVAC";"V.le Jenner 44";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"08";"HVAC";"Via Livigno 3";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"09";"HVAC";"Via Calvairate 1";"- n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"-";"REALE"
"10";"HVAC";"Via Polesine 6";"- n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"-";"REALE"
"11b";"HVAC";"Via Adriano 99 e 107";"- n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"-";"REALE"
"12";"HVAC";"POT Bollate";"- n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"-";"REALE"
"XX";"HVAC";"Legnano";"- n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"-";"REALE"
"14";"HVAC";"viale Piceno 60";"- n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"-";"REALE"
"15";"HVAC";"via Clericetti 22";"1 n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"1";"REALE"
"17";"HVAC";"via Fantoli 7";"- n.ro gruppo frigorifero x Gruppi frigoriferi a vite/centrifughi fino a 100 kW";"Periodica";"Normativa vigente";"13.3";"B.04";"-";"REALE"
"XX";"HVAC";"Via A. Doria 52";"4 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"4";"REALE"
"02";"HVAC";"Via Don Orione 2";"075 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"075";"REALE"
"03";"HVAC";"Via Farini 9";"2 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"2";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"967 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"967";"REALE"
"XX";"HVAC";"Via A. Sassi 4";"5 m2 superficie lorda x Distribuzione impianti idronici e sottocentrali";"Periodica";"Normativa vigente";"3.1";"B.01 -B.05 -B.06 -B.07 - B.09 - B.10 - B.11";"5";"REALE"
