"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"20";"Idrico";"via Aldini 72";"5508 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"5508";"REALE"
"21";"Idrico";"via Perini 22";"184 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"184";"REALE"
"22";"Idrico";"via Cilea 146A";"405 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"405";"REALE"
"23";"Idrico";"via R. Sanzio 9";"303 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"303";"REALE"
"24";"Idrico";"via Statuto 5";"638 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"638";"REALE"
"26";"Idrico";"via Padova 118";"275 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"275";"REALE"
"27";"Idrico";"L.go Volontari del Sangue 1";"644 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"644";"REALE"
"28";"Idrico";"C.so Plebisciti 4";"276 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"276";"REALE"
"29";"Idrico";"via Serlio 8";"437 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"437";"REALE"
"17";"Idrico";"via Fantoli 7
Consultorio";"601 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"601";"REALE"
"31";"Idrico";"viale Puglie 33";"370 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"370";"REALE"
"32";"Idrico";"via Natta 19";"395 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"395";"REALE"
