"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"LAST_DATE";"NEXT_DUE";"NOTE"
"03";"Elettrico";"Via Farini 9";"32 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"22 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"05";"Elettrico";"Via A. Sassi 4";"8 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"06";"Elettrico";"Via Sassi 4 P.ssa Jolanda";"34 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"09";"Elettrico";"Via Calvairate 1";"2 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"10";"Elettrico";"Via Polesine 6";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"12";"Elettrico";"POT Bollate";"5 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"15";"Elettrico";"via Clericetti 22";"9 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"16";"Elettrico";"via Don Bosco 14";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"17";"Elettrico";"via Fantoli 7 
Poliamb.";"11 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"18";"Elettrico";"via Monte Palombino 4";"3 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"19";"Elettrico";"via Quarenghi 21";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"01";"Elettrico";"Via A. Doria 52";"4075 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"02";"Elettrico";"Via Don Orione 2";"2967 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"03";"Elettrico";"Via Farini 9";"5958 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"4088 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"05";"Elettrico";"Via A. Sassi 4";"523 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"06";"Elettrico";"Via Sassi 4 P.ssa Jolanda";"4650 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"07";"Elettrico";"V.le Jenner 44";"295 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"08";"Elettrico";"Via Livigno 3";"446 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"09";"Elettrico";"Via Calvairate 1";"6 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"10";"Elettrico";"Via Polesine 6";"82 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"12";"Elettrico";"POT Bollate";"1831 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"15";"Elettrico";"via Clericetti 22";"564 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"16";"Elettrico";"via Don Bosco 14";"311 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"17";"Elettrico";"via Fantoli 7 
Poliamb.";"1154 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"18";"Elettrico";"via Monte Palombino 4";"9 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"19";"Elettrico";"via Quarenghi 21";"641 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"20";"Elettrico";"via Aldini 72";"5508 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"21";"Elettrico";"via Perini 22";"184 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
