Ubicazione Prevalente,Tipologia Impianto,Asset / Apparecchiatura,QuantitÃ  Totale,Frequenza Manutentiva,FM,Riferimento Normativo,Note di Verifica / Prescrizioni,Data Ultimo Intervento,Data Scadenza
Via Livigno 3,ELETTRICI,Rifasatori,0,Semestrale,6,Norme CEI,Misura del Cos,,
Via Livigno 3,ELEVATORI,Elevatori (1-5 piani),1,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
Via Livigno 3,ELEVATORI,Elevatori (6-10 piani),0,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
Via Livigno 3,ELEVATORI,Servoscala,0,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
Via Livigno 3,MECCANICI,Caldaie (36-350 kW),3,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
Via Livigno 3,MECCANICI,Caldaie (>350 kW),0,Settimanale,6,DPR 74/13,Controllo pressione.,,
Via Livigno 3,MECCANICI,Gruppi Frigo / Chiller,0,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
Via Livigno 3,MECCANICI,UTA (Trattamento Aria),0,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
Via Livigno 3,MECCANICI,Addolcitori,0,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
Via Livigno 3,MECCANICI,Produttori Biossido Cloro,0,Settimanale,,Linee Guida,Dosaggio continuo.,,
Via Livigno 3,MECCANICI,Pompe Sollevamento,1,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
Via Livigno 3,MECCANICI,Distribuzione impianti idronici e sottocentrali,446 m2,Annuale,12,Norme Tecniche,Manutenzione,,
Via Livigno 3,MECCANICI,Ventilconvettori,0,Annuale,12,Linee Guida,Pulizia filtri,,
Via Livigno 3,MECCANICI,Condizionatori tipo split/VRV/carrellabili,1,Annuale,12,Linee Guida,Sanificazione,,
Via Livigno 3,MECCANICI,"Canali di distribuzione, ripresa, serrande",0,Annuale,12,Linee Guida,Pulizia condotte,,
Via Livigno 3,MECCANICI,Distribuzione idrico sanitaria,446 m2,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
Via Livigno 3,MECCANICI,Centrali idriche (Vasche),0,Mensile,1,D.Lgs 31/01,Controllo vasche,,
Via Livigno 3,MECCANICI,Prove della legionella della rete idrico-sanitaria,3,Annuale,12,Linee Guida,Prelievi,,
Via Livigno 3,EDILE,Cancelli e sbarre motorizzati,0,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via Livigno 3,EDILE,Porte automatiche e portoni sezionali,0,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,2,Via Calvairate 1,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,7,Via Calvairate 1,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,Via Calvairate 1,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,106 m2,Via Calvairate 1,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,106 m2,Via Calvairate 1,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,Via Calvairate 1,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,106 m2,Via Calvairate 1,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),2,Via Calvairate 1,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,106 m2,Via Calvairate 1,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,Via Calvairate 1,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,Via Calvairate 1,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,Via Calvairate 1,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,Via Calvairate 1,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,Via Calvairate 1,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,Via Calvairate 1,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,Via Calvairate 1,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),4,Via Calvairate 1,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,Via Calvairate 1,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,Via Calvairate 1,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,Via Calvairate 1,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,106 m2,Via Calvairate 1,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,Via Calvairate 1,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,Via Calvairate 1,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,Via Calvairate 1,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,106 m2,Via Calvairate 1,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,Via Calvairate 1,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,3,Via Calvairate 1,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,Via Calvairate 1,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,Via Calvairate 1,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,1,Via Polesine 6,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,3,Via Polesine 6,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,Via Polesine 6,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,82 m2,Via Polesine 6,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,82 m2,Via Polesine 6,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,Via Polesine 6,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,82 m2,Via Polesine 6,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),1,Via Polesine 6,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,82 m2,Via Polesine 6,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,Via Polesine 6,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,Via Polesine 6,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,Via Polesine 6,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,Via Polesine 6,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,Via Polesine 6,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,Via Polesine 6,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,Via Polesine 6,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),2,Via Polesine 6,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,Via Polesine 6,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,Via Polesine 6,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,Via Polesine 6,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,82 m2,Via Polesine 6,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,Via Polesine 6,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,Via Polesine 6,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,Via Polesine 6,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,82 m2,Via Polesine 6,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,Via Polesine 6,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,3,Via Polesine 6,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,Via Polesine 6,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,Via Polesine 6,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,6,Via Adriano,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,0,Via Adriano,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,Via Adriano,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,575 m2,Via Adriano,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,575 m2,Via Adriano,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,Via Adriano,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,575 m2,Via Adriano,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),0,Via Adriano,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,0,Via Adriano,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,Via Adriano,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,Via Adriano,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,Via Adriano,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,Via Adriano,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,Via Adriano,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,Via Adriano,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,Via Adriano,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,Via Adriano,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,Via Adriano,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,Via Adriano,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,Via Adriano,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,0,Via Adriano,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,Via Adriano,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,Via Adriano,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,Via Adriano,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,0,Via Adriano,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,Via Adriano,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,0,Via Adriano,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,Via Adriano,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,Via Adriano,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,6,POT Bollate,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,6,POT Bollate,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,1,POT Bollate,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,1831 m2,POT Bollate,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,1831 m2,POT Bollate,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,1,POT Bollate,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,1831 m2,POT Bollate,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),5,POT Bollate,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,1831 m2,POT Bollate,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,POT Bollate,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,POT Bollate,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,POT Bollate,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,POT Bollate,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,POT Bollate,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,POT Bollate,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,POT Bollate,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),26,POT Bollate,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,POT Bollate,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,POT Bollate,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,POT Bollate,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,1831 m2,POT Bollate,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,POT Bollate,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,POT Bollate,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,POT Bollate,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,1831 m2,POT Bollate,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,POT Bollate,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,2,POT Bollate,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,POT Bollate,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,POT Bollate,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,21,Legnano,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,0,Legnano,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,Legnano,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,4855 m2,Legnano,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,4855 m2,Legnano,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,Legnano,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,4855 m2,Legnano,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),0,Legnano,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,0,Legnano,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,Legnano,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,Legnano,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,Legnano,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,Legnano,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,Legnano,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,Legnano,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,Legnano,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,Legnano,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,Legnano,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,Legnano,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,Legnano,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,0,Legnano,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,Legnano,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,Legnano,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,Legnano,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,0,Legnano,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,Legnano,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,0,Legnano,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,Legnano,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,Legnano,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,40,viale Piceno 60,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,0,viale Piceno 60,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,1,viale Piceno 60,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,1095 m2,viale Piceno 60,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,1095 m2,viale Piceno 60,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,viale Piceno 60,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,1095 m2,viale Piceno 60,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),0,viale Piceno 60,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,1095 m2,viale Piceno 60,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,viale Piceno 60,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),2,viale Piceno 60,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,viale Piceno 60,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,viale Piceno 60,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,viale Piceno 60,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,viale Piceno 60,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,viale Piceno 60,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,viale Piceno 60,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,viale Piceno 60,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,viale Piceno 60,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,1,viale Piceno 60,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,1095 m2,viale Piceno 60,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,viale Piceno 60,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,viale Piceno 60,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,viale Piceno 60,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,1095 m2,viale Piceno 60,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,viale Piceno 60,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,2,viale Piceno 60,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,viale Piceno 60,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,viale Piceno 60,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,7,via Clericetti 22,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,8,via Clericetti 22,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,via Clericetti 22,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,564 m2,via Clericetti 22,Semestrale,6,UNI 11224,Test dei rilevatori.,,
ANTINCENDIO,Illum. Emergenza,564 m2,via Clericetti 22,Semestrale,6,UNI EN 1838,Test di autonomia.,,
ANTINCENDIO,Centrale Pressurizzazione,0,via Clericetti 22,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
ELETTRICI,Quadri e Distribuzione,564 m2,via Clericetti 22,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
ELETTRICI,Locali Uso Medico (G1/G2),0,via Clericetti 22,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
ELETTRICI,Impianto Terra / Scariche,564 m2,via Clericetti 22,Biennale,24,DPR 462/01,Misura resistenza terra.,,
ELETTRICI,Rifasatori,0,via Clericetti 22,Semestrale,6,Norme CEI,Misura del Cos,,
ELEVATORI,Elevatori (1-5 piani),0,via Clericetti 22,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
ELEVATORI,Elevatori (6-10 piani),0,via Clericetti 22,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
ELEVATORI,Servoscala,0,via Clericetti 22,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
MECCANICI,Caldaie (36-350 kW),0,via Clericetti 22,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
MECCANICI,Caldaie (>350 kW),0,via Clericetti 22,Settimanale,6,DPR 74/13,Controllo pressione.,,
MECCANICI,Gruppi Frigo / Chiller,0,via Clericetti 22,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
MECCANICI,UTA (Trattamento Aria),0,via Clericetti 22,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
MECCANICI,Addolcitori,0,via Clericetti 22,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
MECCANICI,Produttori Biossido Cloro,0,via Clericetti 22,Settimanale,,Linee Guida,Dosaggio continuo.,,
MECCANICI,Pompe Sollevamento,0,via Clericetti 22,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
MECCANICI,Distribuzione impianti idronici e sottocentrali,564 m2,via Clericetti 22,Annuale,12,Norme Tecniche,Manutenzione,,
MECCANICI,Ventilconvettori,0,via Clericetti 22,Annuale,12,Linee Guida,Pulizia filtri,,
MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,via Clericetti 22,Annuale,12,Linee Guida,Sanificazione,,
MECCANICI,"Canali di distribuzione, ripresa, serrande",0,via Clericetti 22,Annuale,12,Linee Guida,Pulizia condotte,,
MECCANICI,Distribuzione idrico sanitaria,564 m2,via Clericetti 22,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
MECCANICI,Centrali idriche (Vasche),0,via Clericetti 22,Mensile,1,D.Lgs 31/01,Controllo vasche,,
MECCANICI,Prove della legionella della rete idrico-sanitaria,2,via Clericetti 22,Annuale,12,Linee Guida,Prelievi,,
EDILE,Cancelli e sbarre motorizzati,0,via Clericetti 22,Semestrale,6,D.Lgs 81/08,Sicurezze,,
EDILE,Porte automatiche e portoni sezionali,0,via Clericetti 22,Semestrale,6,D.Lgs 81/08,Sicurezze,,
ANTINCENDIO,Estintori,4,via Don Bosco 14,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
ANTINCENDIO,Porte Tagliafuoco / REI,3,via Don Bosco 14,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
ANTINCENDIO,Idranti / Naspi,0,via Don Bosco 14,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
ANTINCENDIO,Rilevazione Fumi,311 m2,via Don Bosco 14,Semestrale,6,UNI 11224,Test dei rilevatori.,,
