"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_G";"FREQ_St";"FREQ_Q";"FREQ_M";"FREQ_T";"FREQ_S";"FREQ_A";"FREQ_B";"FREQ_N";"FREQ_DESCRIZIONE";"PRIORITA";"FLAG_SANITARIO";"NORMATIVA";"RESPONSABILE";"NOTE";"FONTE";"DATA_ULTIMO_INTERVENTO_ANTINCENDIO"
"07";"Idrico";"Viale Jenner 44";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"07";"Idrico";"Viale Jenner 44";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"07";"Elevatori";"Viale Jenner 44";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"07";"Sedi";"Viale Jenner 44";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"08";"HVAC";"Via Livigno 3";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"08";"HVAC";"Via Livigno 3";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"08";"Elettrico";"Via Livigno 3";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"08";"Antincendio";"Via Livigno 3";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";""
"08";"Antincendio";"Via Livigno 3";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";""
"08";"Idrico";"Via Livigno 3";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"08";"Idrico";"Via Livigno 3";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"08";"Elevatori";"Via Livigno 3";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"08";"Sedi";"Via Livigno 3";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
