"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_G";"FREQ_St";"FREQ_Q";"FREQ_M";"FREQ_T";"FREQ_S";"FREQ_A";"FREQ_B";"FREQ_N";"FREQ_DESCRIZIONE";"PRIORITA";"FLAG_SANITARIO";"NORMATIVA";"RESPONSABILE";"NOTE";"FONTE";"DATA_ULTIMO_INTERVENTO_ANTINCENDIO"
"31";"Idrico";"V.le Puglie 33";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"31";"Elevatori";"V.le Puglie 33";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"31";"Sedi";"V.le Puglie 33";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"32";"HVAC";"Via Natta 19";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"32";"HVAC";"Via Natta 19";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"32";"Elettrico";"Via Natta 19";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"32";"Antincendio";"Via Natta 19";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";""
"32";"Antincendio";"Via Natta 19";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";""
"32";"Idrico";"Via Natta 19";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"32";"Idrico";"Via Natta 19";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"32";"Elevatori";"Via Natta 19";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"32";"Sedi";"Via Natta 19";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"33";"HVAC";"Via Oglio 4";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"33";"HVAC";"Via Oglio 4";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"33";"Elettrico";"Via Oglio 4";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"33";"Antincendio";"Via Oglio 4";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";""
"33";"Antincendio";"Via Oglio 4";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";""
"33";"Idrico";"Via Oglio 4";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"33";"Idrico";"Via Oglio 4";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"33";"Elevatori";"Via Oglio 4";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"33";"Sedi";"Via Oglio 4";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
