"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"09";"Antincendio";"Via Calvairate 1";"106 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"106";"REALE"
"10";"Antincendio";"Via Polesine 6";"82 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"82";"REALE"
"12";"Antincendio";"POT Bollate";"1,831 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"1,831";"REALE"
"15";"Antincendio";"via Clericetti 22";"564 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"564";"REALE"
"16";"Antincendio";"via Don Bosco 14";"311 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"311";"REALE"
"17";"Antincendio";"via Fantoli 7";"1,154 m2 superficie lorda servita x impianti rivelazione e segnalazione incendi";"Periodica";"Normativa vigente";"64.1";"E2.01 - E2.04 - E2.05";"1,154";"REALE"
"02";"Antincendio";"Via Don Orione 2";"1,133 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"1,133";"REALE"
"03";"Antincendio";"Via Farini 9";"1,399 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"1,399";"REALE"
"08";"Antincendio";"Via Livigno 3";"446 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"446";"REALE"
"09";"Antincendio";"Via Calvairate 1";"106 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"106";"REALE"
"10";"Antincendio";"Via Polesine 6";"82 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"82";"REALE"
"12";"Antincendio";"POT Bollate";"1,831 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"1,831";"REALE"
"15";"Antincendio";"via Clericetti 22";"564 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"564";"REALE"
"16";"Antincendio";"via Don Bosco 14";"311 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"311";"REALE"
"17";"Antincendio";"via Fantoli 7";"1,154 m2 superficie lorda x illuminazione di emergenza, segnaletica antincendio e vie di esodo";"Periodica";"Normativa vigente";"62.1";"E1.04 - E1.05 - E2.02";"1,154";"REALE"
"02";"Antincendio";"Via Don Orione 2";"36 n.ro porte tagliafuoco x Porte tagliafuoco";"Periodica";"Normativa vigente";"59.1";"E1.01";"36";"REALE"
"03";"Antincendio";"Via Farini 9";"59 n.ro porte tagliafuoco x Porte tagliafuoco";"Periodica";"Normativa vigente";"59.1";"E1.01";"59";"REALE"
"09";"Antincendio";"Via Calvairate 1";"7 n.ro porte tagliafuoco x Porte tagliafuoco";"Periodica";"Normativa vigente";"59.1";"E1.01";"7";"REALE"
"10";"Antincendio";"Via Polesine 6";"3 n.ro porte tagliafuoco x Porte tagliafuoco";"Periodica";"Normativa vigente";"59.1";"E1.01";"3";"REALE"
"12";"Antincendio";"POT Bollate";"6 n.ro porte tagliafuoco x Porte tagliafuoco";"Periodica";"Normativa vigente";"59.1";"E1.01";"6";"REALE"
"15";"Antincendio";"via Clericetti 22";"8 n.ro porte tagliafuoco x Porte tagliafuoco";"Periodica";"Normativa vigente";"59.1";"E1.01";"8";"REALE"
"16";"Antincendio";"via Don Bosco 14";"3 n.ro porte tagliafuoco x Porte tagliafuoco";"Periodica";"Normativa vigente";"59.1";"E1.01";"3";"REALE"
"17";"Antincendio";"via Fantoli 7";"11 n.ro porte tagliafuoco x Porte tagliafuoco";"Periodica";"Normativa vigente";"59.1";"E1.01";"11";"REALE"
"02";"Antincendio";"Via Don Orione 2";"35 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"35";"REALE"
"03";"Antincendio";"Via Farini 9";"65 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"65";"REALE"
"08";"Antincendio";"Via Livigno 3";"11 n.ro estintori x Estintori";"Periodica";"Normativa vigente";"60.1";"E1.02";"11";"REALE"
