"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"03";"Elettrico";"Via Farini 9";"4  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"4";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"075  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"075";"REALE"
"05";"Elettrico";"Via A. Sassi 4";"2  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"2";"REALE"
"06";"Elettrico";"Via Sassi 4 P.ssa Jolanda";"967  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"967";"REALE"
"08";"Elettrico";"Via Livigno 3";"958  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"958";"REALE"
"09";"Elettrico";"Via Calvairate 1";"4  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"4";"REALE"
"10";"Elettrico";"Via Polesine 6";"088  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"088";"REALE"
"11b";"Elettrico";"Via Adriano 99 e  7";"523  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"523";"REALE"
"12";"Elettrico";"POT Bollate";"4  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"4";"REALE"
"14";"Elettrico";"viale Piceno 60";"295  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"295";"REALE"
"15";"Elettrico";"via Clericetti 22";"446  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"446";"REALE"
"16";"Elettrico";"via Don Bosco 14";"6  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"6";"REALE"
"17";"Elettrico";"via Fantoli 7 ";"82  quadri x Distribuzione elettrica";"Periodica";"Normativa vigente";"30.1";"C2 - C6";"82";"REALE"
"04";"Elettrico";"Via Rugabella 4/6";"1 n.ro rifasatori x Rifasatori";"Periodica";"Normativa vigente";"40.1";"C4.02";"1";"REALE"
