"Sito";"Sistema";"Attivita";"Frequenza";"Stato_Attuale";"Azione_Richiesta"
"via Monte Palombino 4";"Elettrico";"3 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Quarenghi 21";"Elettrico";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"L.go Volontari del Sangue 1";"Elettrico";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Elettrico";"4075 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Don Orione 2";"Elettrico";"2967 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Farini 9";"Elettrico";"5958 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"Elettrico";"4088 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Sassi 4";"Elettrico";"523 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Sassi 4 P.ssa Jolanda";"Elettrico";"4650 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"V.le Jenner 44";"Elettrico";"295 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"Elettrico";"446 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Calvairate 1";"Elettrico";"6 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Polesine 6";"Elettrico";"82 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"POT Bollate";"Elettrico";"1831 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Clericetti 22";"Elettrico";"564 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Don Bosco 14";"Elettrico";"311 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7 
Poliamb.";"Elettrico";"1154 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Monte Palombino 4";"Elettrico";"9 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Quarenghi 21";"Elettrico";"641 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Aldini 72";"Elettrico";"5508 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Perini 22";"Elettrico";"184 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Cilea 146A";"Elettrico";"405 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via R. Sanzio 9";"Elettrico";"303 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Statuto 5";"Elettrico";"638 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Padova 118";"Elettrico";"275 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"L.go Volontari del Sangue 1";"Elettrico";"677 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"C.so Plebisciti 4";"Elettrico";"276 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Serlio 8";"Elettrico";"437 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7
Consultorio";"Elettrico";"601 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"viale Puglie 33";"Elettrico";"370 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Natta 19";"Elettrico";"395 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Oglio 18";"Elettrico";"98 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Idrico";"1 n.ro vasche x Centrali idriche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Farini 9";"Idrico";"1 n.ro vasche x Centrali idriche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"Idrico";"1 n.ro vasche x Centrali idriche";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Idrico";"1 n.ro addolcitori x Impianti addolcimento";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Idrico";"4075 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Don Orione 2";"Idrico";"2967 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Farini 9";"Idrico";"5958 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Rugabella 4/6";"Idrico";"4088 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Sassi 4";"Idrico";"523 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Sassi 4 P.ssa Jolanda";"Idrico";"4650 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"V.le Jenner 44";"Idrico";"295 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Livigno 3";"Idrico";"446 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Calvairate 1";"Idrico";"6 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via Polesine 6";"Idrico";"82 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"POT Bollate";"Idrico";"1831 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"viale Piceno 60";"Idrico";"95 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Clericetti 22";"Idrico";"564 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Don Bosco 14";"Idrico";"311 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7 
Poliamb.";"Idrico";"1154 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Monte Palombino 4";"Idrico";"9 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Quarenghi 21";"Idrico";"590 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Aldini 72";"Idrico";"5508 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Perini 22";"Idrico";"184 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Cilea 146A";"Idrico";"405 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via R. Sanzio 9";"Idrico";"303 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Statuto 5";"Idrico";"638 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Padova 118";"Idrico";"275 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"L.go Volontari del Sangue 1";"Idrico";"644 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"C.so Plebisciti 4";"Idrico";"276 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Serlio 8";"Idrico";"437 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7
Consultorio";"Idrico";"601 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"viale Puglie 33";"Idrico";"370 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Natta 19";"Idrico";"395 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Oglio 18";"Idrico";"98 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"Via A. Doria 52";"Idrico";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
